logProt,logRvar
3.971212,1.1670218
3.1370316,1.6817838
3.1211128,1.4711449
3.573207,1.4380674
4.013432,1.3656751
3.151244,1.5041989
3.379072,1.6035774
4.289506,1.3386557
4.0522337,1.1911714
3.9804554,1.0856473
3.8505433,1.3085644
3.9642417,1.1702617
3.6986592,1.2935835
3.2290812,1.4619485
3.756887,1.4019172
4.0682106,1.2062861
3.9350805,1.4831592
3.9001143,1.4320067
3.547198,1.2307043
3.3634014,1.5794406
3.340754,1.5764565
3.2963965,1.3057811
3.798341,1.422918
3.6316183,1.1492192
4.23023,1.0314084
3.9931097,1.4530123
3.7422419,1.2844307
2.9458206,1.6336704
4.2407784,1.3265407
3.8008811,1.2574385
3.3922331,1.5795549
3.6772676,1.4680518
3.3672976,1.5132176
3.5820765,1.3326404
3.9990237,1.2273724
3.7486575,1.3176455
3.9285595,1.3988078
3.165047,1.5342801
3.321327,1.507181
3.3169653,1.627673
3.5268228,1.5704261
3.1025403,1.657725
3.9233763,1.3176455
3.0728436,1.3539163
4.1361203,1.0856473
3.3964355,1.2966652
3.998459,1.2875777
3.3026457,1.5884959
3.525371,1.449941
3.8383107,1.3988078
3.6205451,1.5825179
3.3515167,1.5524249
3.7987895,1.437909
4.117716,1.3747483
3.2784224,1.3596457
3.0922477,1.467756
3.9387918,1.4350476
3.258871,1.5280163
3.3467891,1.5884959
3.2605946,1.2966652
3.3217776,1.6487502
3.1596081,1.5403295
4.188898,1.3656751
3.9976487,1.0618293
3.7191944,1.4951279
4.1693516,1.0737183
3.117979,1.2966652
4.361146,1.3958504
3.6240797,1.6245915
3.2707214,0.8363241
4.277571,1.3688445
3.6655562,1.2875777
3.2982316,1.5854608
4.158649,1.0166155
3.399594,1.3718065
4.110071,1.1370374
3.8746686,1.3207692
3.7984922,1.3445888
3.7222078,1.3656751
2.8148463,1.4709982
4.16295,0.99563515
3.3745735,1.278525
3.1882486,1.5403295
4.0322456,1.4320067
2.9456055,1.5493711
3.606682,1.1218879
3.845342,0.67117286
3.3231256,1.5102769
4.077579,1.1280761
3.2106864,1.4801507
3.9895387,1.0827854
4.1340084,1.3838154
3.2872515,1.4109459
4.0706367,1.4169732
3.7223272,1.4320067
3.379308,1.4981726
3.7712398,1.269513
3.0735946,1.3809345
3.2189095,1.5313512
4.0167303,1.3356584
3.7423244,1.4740705
3.8223903,1.4861469
3.7728162,1.1970047
3.7480605,1.4590908
3.0911596,1.351603
3.8293474,1.5041989
3.7587793,1.3778524
3.2221835,1.6246945
3.1820643,0.9395192
3.8416674,1.2151086
4.1318107,1.0077478
4.4911685,1.0013009
3.4368248,1.594503
4.3407397,0.8692317
3.644639,1.5614592
3.283236,1.612572
3.7568643,1.2964458
3.2321393,1.5433229
4.0677013,0.6857417
3.108672,1.5461724
3.2491684,1.5614592
2.795137,1.6216954
3.485281,1.5041989
3.6495192,1.2365372
3.3747146,1.2035768
3.2644954,1.5975856
4.075283,1.1159432
3.6770113,1.2664669
3.2930717,1.4620984
2.9327922,1.2760019
3.184806,1.5041989
4.3626366,1.1099159
4.1156983,1.4831592
3.498891,1.5524249
3.73576,1.5102769
2.6949682,1.6035774
3.1450076,1.3602146
2.9042983,1.5402043
3.568265,1.2121875
3.5072722,1.114611
3.921004,1.4079006
4.1085563,1.1430148
3.774747,1.2422929
3.942588,1.5282738
3.7888794,1.4530123
4.1520085,1.0195317
3.918213,1.1942368
3.0817714,1.5043349
3.1345541,1.3328422
3.5176346,1.0856473
4.1927843,1.4951279
3.3498726,1.1911714
4.261053,1.2844307
3.2094963,1.5734519
2.7589552,1.4409091
3.047762,1.335859
3.8604465,1.2755417
4.722704,0.8932068
2.7974439,1.4199557
4.0265718,1.1280761
3.580795,1.2904798
3.6531317,1.5614592
3.863682,1.1821293
3.7060654,1.2574385
4.235248,1.3718065
3.8107903,1.3928727
3.54055,1.4410664
3.9993646,1.0346285
3.0069726,1.3989811
4.8121634,-0.27572414
3.2078912,1.612572
3.4325671,1.3265407
3.7322056,1.1519824
4.684181,0.17897694
4.786507,-0.045757502
3.8781219,1.4530123
4.0120764,1.1670218
3.4756355,1.3115419
3.4978502,1.4320067
3.2015257,1.5553364
3.7579892,1.0496056
3.5070944,1.3958504
3.768778,1.3567904
3.3443065,1.5282738
3.3925977,1.5403295
3.6259875,1.3176455
4.088532,1.4350476
4.8207817,1.0013009
3.0555036,1.5764565
3.8138177,1.2121875
3.0839584,1.5465426
3.6101294,1.5223138
3.1516562,1.426023
3.7080986,1.2725377
3.828428,1.1010593
3.6456807,1.3688445
3.3387563,1.4983106
3.8846288,1.3807538
3.610741,1.4590908
4.3531737,1.0346285
4.134237,1.2392995
3.5981197,1.422918
4.0557556,1.2392995
3.3561556,1.3326404
3.1511204,1.3328422
3.2782226,1.335859
4.5695286,0.54654264
3.6454062,1.4951279
3.4646778,1.3537239
3.3067899,1.6487502
3.833904,1.5313512
3.8272672,1.1702617
3.8433242,1.1760913
2.962749,1.6065962
3.9321759,1.4410664
4.7550735,0.845098
3.9253666,1.0161973
3.945324,1.3807538
3.4615357,1.507181
3.9173522,1.2755417
3.5495453,1.5704261
3.9747355,1.148911
4.3831234,0.8088859
3.404065,1.4169732
4.075979,1.1099159
3.1535902,1.4320067
3.9702177,1.2904798
3.3496327,1.4740705
3.6549482,1.4740705
3.1988578,1.4650853
3.256602,1.3085644
3.8696027,1.1792644
3.7861528,1.1610683
4.002653,1.3205616
3.72197,1.4169732
4.9214025,0.72181064
3.9600697,1.2182729
3.1932013,1.612572
3.6126485,1.4951279
3.599233,1.2844307
4.0795307,1.2092469
2.900718,1.422918
3.6973863,1.2574385
3.4044518,1.3866773
4.073198,1.4320067
3.7904243,1.0285712
2.867483,1.422918
4.056352,1.052694
3.9993055,1.1159432
3.8274133,1.2664669
3.8856902,1.281488
3.9382665,1.1670218
3.424455,1.3055663
3.6368086,1.2422929
3.9611511,1.1099159
3.3623781,1.493458
3.3390112,0.18184358
3.5812361,1.612572
3.7616293,1.4079006
3.9864604,1.1550323
3.741722,1.5794406
3.6536515,1.281488
3.2620163,1.5403295
3.8337927,1.426023
3.368254,1.6156344
3.2835472,1.5884959
3.3663456,1.3055663
3.93855,1.2603099
3.6875026,1.3718065
3.8858407,1.1821293
3.9515262,1.3898746
4.3470125,1.3445888
3.3990436,1.4380674
3.3836715,1.5033821
3.8014717,1.3296013
4.9604063,-0.38721615
3.7971418,1.4801507
3.050169,1.4740705
3.618758,1.3386557
4.1652775,1.2664669
2.8663018,0.19312458
3.4602294,1.3326404
3.1364915,1.4440448
3.194404,1.4377506
3.7638617,1.281488
3.1941805,1.3386557
4.0962157,1.1218879
3.8338683,1.5282738
3.3048592,1.5162709
3.9835553,1.3778524
3.862056,1.2513949
3.035582,1.657725
3.1238008,1.6637951
3.7556226,1.1401937
3.288955,1.6336704
4.388507,0.89597476
3.3716564,1.6156344
3.700534,1.1792644
4.7194037,-0.38721615
4.1088376,1.0648322
4.0057282,1.4048337
3.29264,1.5644293
3.9753392,1.3778524
4.6645083,1.2904798
4.7548385,0.76641285
3.8542867,1.148911
3.5153913,1.4711449
3.69004,1.224274
2.9767137,1.5255631
3.873941,1.3144993
3.3404114,1.6396856
3.500427,1.5193028
4.1240897,1.097951
3.8934345,1.1550323
3.9372995,1.3055663
4.1056614,1.3988078
3.4416094,1.5825179
3.7174883,1.2003032
4.0908766,1.0257154
3.2669358,1.3115419
4.8633003,0.622214
3.1964285,1.4763968
4.0504193,1.4199557
3.9100852,1.0856473
3.2353318,1.5794406
3.340098,1.4831592
3.205183,1.5041989
3.0747201,1.3662361
3.2037537,1.4622482
3.75482,1.4951279
3.114854,1.4380674
4.7401953,0.8750613
4.143349,1.1760913
3.4763281,1.278525
3.7478855,1.2574385
4.1933465,1.0678145
3.9432304,1.1218879
3.8925426,1.1038038
3.9242096,1.1792644
3.3699074,1.5493711
3.0272954,1.1357685
3.163165,1.5223138
4.022898,1.2964458
3.4617867,1.4650853
3.971827,1.2935835
3.558631,1.3477203
3.00458,1.5041989
3.6164389,1.3025473
3.4935064,1.4289443
3.2962766,1.2909245
2.8834672,1.4199557
